trip_id,duration,start_time,end_time,bike_id,trip_route_category,plan_duration,passholder_type,bike_type,start_station,end_station,start_lat,start_lon,end_lat,end_lon,taxicab_distance
171281065,13,9/19/2021 17:21,9/19/2021 17:34,20212,Round Trip,30,Monthly Pass,standard,4406,4406,34.101891,-118.300613,34.101891,-118.300613,0
171281066,12,9/19/2021 17:20,9/19/2021 17:32,15418,One Way,30,Monthly Pass,standard,4304,4401,34.06258,-118.290092,34.075611,-118.291862,0.014801
171281067,7,9/19/2021 17:19,9/19/2021 17:26,19293,One Way,30,Monthly Pass,electric,3020,4246,34.031052,-118.26709,34.023708,-118.279167,0.019421
171281068,23,9/19/2021 17:18,9/19/2021 17:41,15506,Round Trip,30,Monthly Pass,standard/smart,4570,4570,34.01376,-118.417801,34.01376,-118.417801,0
171281071,10,9/19/2021 17:16,9/19/2021 17:26,6174,One Way,30,Monthly Pass,standard,3005,3056,34.0485,-118.258537,34.03746,-118.265381,0.017884
171281073,5,9/19/2021 17:15,9/19/2021 17:20,16081,One Way,30,Monthly Pass,standard/smart,4545,4543,33.95879,-118.44828,33.95718,-118.451248,0.004578
171281074,39,9/19/2021 17:15,9/19/2021 17:54,6184,One Way,30,Monthly Pass,standard,4215,4204,34.014309,-118.491341,33.988419,-118.45163,0.065601
171281075,10,9/19/2021 17:14,9/19/2021 17:24,6663,One Way,30,Monthly Pass,standard,4561,4563,34.020061,-118.422684,34.017681,-118.409081,0.015983
171281077,11,9/19/2021 17:13,9/19/2021 17:24,5948,One Way,30,Monthly Pass,standard,4561,4563,34.020061,-118.422684,34.017681,-118.409081,0.015983
171281078,12,9/19/2021 17:13,9/19/2021 17:25,19429,One Way,1,Walk-up,electric,4568,4557,34.029121,-118.403168,34.011799,-118.419441,0.033595
171281079,34,9/19/2021 17:10,9/19/2021 17:44,15153,One Way,1,One Day Pass,standard,4214,4216,33.99556,-118.481552,34.023392,-118.479637,0.029747
171281080,34,9/19/2021 17:10,9/19/2021 17:44,17174,One Way,1,One Day Pass,electric,4214,4216,33.99556,-118.481552,34.023392,-118.479637,0.029747
171281082,15,9/19/2021 17:10,9/19/2021 17:25,20047,One Way,30,Monthly Pass,standard,4210,4206,33.984341,-118.47155,33.998341,-118.461014,0.024536
171281083,16,9/19/2021 17:09,9/19/2021 17:25,6454,One Way,30,Monthly Pass,standard,4210,4206,33.984341,-118.47155,33.998341,-118.461014,0.024536
171281084,42,9/19/2021 17:09,9/19/2021 17:51,12125,One Way,30,Monthly Pass,standard,4202,4215,33.991161,-118.468292,34.014309,-118.491341,0.046197
171281085,5,9/19/2021 17:07,9/19/2021 17:12,12076,One Way,30,Monthly Pass,standard,3064,4512,34.046131,-118.257591,34.043812,-118.264969,0.009697
171281086,5,9/19/2021 17:07,9/19/2021 17:12,20198,One Way,30,Monthly Pass,standard,3064,4512,34.046131,-118.257591,34.043812,-118.264969,0.009697
171281087,3,9/19/2021 17:06,9/19/2021 17:09,12381,Round Trip,1,One Day Pass,standard,4214,4214,33.99556,-118.481552,33.99556,-118.481552,0
171281088,22,9/19/2021 17:01,9/19/2021 17:23,19358,Round Trip,365,Annual Pass,electric,4449,4449,34.04557,-118.274193,34.04557,-118.274193,0
